4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 270k, 484.826 sec, train err -2.88265, test err -2.91769
iter 271k, 484.941 sec, train err -2.88221, test err -2.91715
iter 272k, 484.815 sec, train err -2.88202, test err -2.9161
iter 273k, 485.146 sec, train err -2.88122, test err -2.91688
iter 274k, 484.786 sec, train err -2.8813, test err -2.91519
iter 275k, 484.815 sec, train err -2.88202, test err -2.91502
iter 276k, 484.892 sec, train err -2.88138, test err -2.91632
iter 277k, 484.993 sec, train err -2.88308, test err -2.91689
iter 278k, 484.913 sec, train err -2.88173, test err -2.91492
iter 279k, 485.105 sec, train err -2.88167, test err -2.91603
iter 280k, 485.296 sec, train err -2.88084, test err -2.91513
iter 281k, 484.985 sec, train err -2.88063, test err -2.91506
iter 282k, 484.801 sec, train err -2.88166, test err -2.91453
iter 283k, 485.039 sec, train err -2.88085, test err -2.91494
iter 284k, 485.437 sec, train err -2.87995, test err -2.91381
iter 285k, 485.467 sec, train err -2.87916, test err -2.91333
iter 286k, 485.558 sec, train err -2.87933, test err -2.91221
iter 287k, 485.588 sec, train err -2.88079, test err -2.9134
iter 288k, 485.495 sec, train err -2.87929, test err -2.914
iter 289k, 485.524 sec, train err -2.8792, test err -2.91322
iter 290k, 485.272 sec, train err -2.87833, test err -2.91277
iter 291k, 485.202 sec, train err -2.88087, test err -2.91413
iter 292k, 485.268 sec, train err -2.87919, test err -2.91291
iter 293k, 485.194 sec, train err -2.87919, test err -2.91302
iter 294k, 485.697 sec, train err -2.87849, test err -2.91247
iter 295k, 485.539 sec, train err -2.87733, test err -2.91115
iter 296k, 485.567 sec, train err -2.87722, test err -2.91083
iter 297k, 485.632 sec, train err -2.87675, test err -2.91137
iter 298k, 485.589 sec, train err -2.87759, test err -2.91167
iter 299k, 485.548 sec, train err -2.87709, test err -2.91095
iter 300k, 485.228 sec, train err -2.87639, test err -2.91158
iter 301k, 485.709 sec, train err -2.87695, test err -2.91117
iter 302k, 485.436 sec, train err -2.87693, test err -2.91057
iter 303k, 485.355 sec, train err -2.87705, test err -2.91174
iter 304k, 485.471 sec, train err -2.87638, test err -2.91147
iter 305k, 485.451 sec, train err -2.87589, test err -2.91032
iter 306k, 485.076 sec, train err -2.87625, test err -2.91043
iter 307k, 485.166 sec, train err -2.87649, test err -2.91043
iter 308k, 485.132 sec, train err -2.87744, test err -2.91105
iter 309k, 485.083 sec, train err -2.87729, test err -2.90981
iter 310k, 484.947 sec, train err -2.87701, test err -2.90952
iter 311k, 485.058 sec, train err -2.876, test err -2.90943
iter 312k, 485.062 sec, train err -2.87508, test err -2.90873
iter 313k, 485.902 sec, train err -2.87422, test err -2.90822
iter 314k, 485.032 sec, train err -2.87466, test err -2.90862
iter 315k, 485.501 sec, train err -2.87593, test err -2.90936
iter 316k, 485.281 sec, train err -2.87572, test err -2.90891
iter 317k, 485.762 sec, train err -2.87355, test err -2.90728
iter 318k, 486.735 sec, train err -2.87376, test err -2.90785
iter 319k, 486.704 sec, train err -2.87439, test err -2.90828
iter 320k, 485.99 sec, train err -2.87311, test err -2.9077
iter 321k, 485.322 sec, train err -2.87235, test err -2.90678
iter 322k, 484.735 sec, train err -2.87314, test err -2.90667
iter 323k, 484.868 sec, train err -2.8725, test err -2.90708
iter 324k, 485.12 sec, train err -2.87194, test err -2.90679
iter 325k, 484.861 sec, train err -2.87308, test err -2.90745
iter 326k, 484.947 sec, train err -2.87326, test err -2.90737
iter 327k, 484.924 sec, train err -2.87268, test err -2.90657
iter 328k, 484.798 sec, train err -2.874, test err -2.90716
iter 329k, 484.898 sec, train err -2.87296, test err -2.90623
iter 330k, 484.821 sec, train err -2.87311, test err -2.90675
iter 331k, 484.929 sec, train err -2.87216, test err -2.90563
iter 332k, 484.731 sec, train err -2.87243, test err -2.90617
iter 333k, 485.562 sec, train err -2.87117, test err -2.90557
iter 334k, 485.569 sec, train err -2.87217, test err -2.90639
iter 335k, 486.012 sec, train err -2.87208, test err -2.90564
iter 336k, 485.363 sec, train err -2.87026, test err -2.90508
iter 337k, 485.247 sec, train err -2.87064, test err -2.9051
iter 338k, 485.247 sec, train err -2.87101, test err -2.90512
iter 339k, 485.687 sec, train err -2.87127, test err -2.90544
iter 340k, 485.804 sec, train err -2.87086, test err -2.90589
iter 341k, 485.832 sec, train err -2.87164, test err -2.90578
iter 342k, 485.914 sec, train err -2.87161, test err -2.90553
iter 343k, 486.065 sec, train err -2.87056, test err -2.90455
iter 344k, 485.747 sec, train err -2.87052, test err -2.90413
iter 345k, 485.588 sec, train err -2.87077, test err -2.90651
iter 346k, 485.785 sec, train err -2.87019, test err -2.90492
iter 347k, 485.487 sec, train err -2.86947, test err -2.90401
iter 348k, 485.812 sec, train err -2.86946, test err -2.90403
iter 349k, 485.858 sec, train err -2.87001, test err -2.90517
iter 350k, 485.609 sec, train err -2.86836, test err -2.90308
iter 351k, 485.54 sec, train err -2.86795, test err -2.90294
iter 352k, 485.444 sec, train err -2.86812, test err -2.9034
iter 353k, 485.271 sec, train err -2.86746, test err -2.90303
iter 354k, 485.182 sec, train err -2.86748, test err -2.90303
iter 355k, 485.213 sec, train err -2.866, test err -2.90164
iter 356k, 485.144 sec, train err -2.86632, test err -2.90283
iter 357k, 485.315 sec, train err -2.86832, test err -2.90257
iter 358k, 485.276 sec, train err -2.8679, test err -2.90211
iter 359k, 485.361 sec, train err -2.86716, test err -2.90169
iter 360k, 485.359 sec, train err -2.86938, test err -2.90343
iter 361k, 485.391 sec, train err -2.86835, test err -2.90314
iter 362k, 485.531 sec, train err -2.86768, test err -2.90238
iter 363k, 485.433 sec, train err -2.86719, test err -2.9014
iter 364k, 485.405 sec, train err -2.86681, test err -2.90127
iter 365k, 485.267 sec, train err -2.86707, test err -2.90242
iter 366k, 485.035 sec, train err -2.86591, test err -2.9017
iter 367k, 485.098 sec, train err -2.86647, test err -2.90107
iter 368k, 485.191 sec, train err -2.86597, test err -2.90021
iter 369k, 484.966 sec, train err -2.86626, test err -2.90119
iter 370k, 484.923 sec, train err -2.86635, test err -2.90051
iter 371k, 485.162 sec, train err -2.86536, test err -2.90052
iter 372k, 484.963 sec, train err -2.8661, test err -2.90079
iter 373k, 484.856 sec, train err -2.86605, test err -2.89965
iter 374k, 485.314 sec, train err -2.86516, test err -2.89915
iter 375k, 485.263 sec, train err -2.86565, test err -2.89926
iter 376k, 484.87 sec, train err -2.86601, test err -2.9
iter 377k, 484.907 sec, train err -2.86566, test err -2.90058
iter 378k, 485.062 sec, train err -2.86478, test err -2.89862
iter 379k, 484.995 sec, train err -2.86446, test err -2.89782
iter 380k, 484.903 sec, train err -2.86497, test err -2.89872
iter 381k, 485.127 sec, train err -2.86302, test err -2.89861
iter 382k, 485.04 sec, train err -2.86265, test err -2.89909
iter 383k, 485.345 sec, train err -2.86196, test err -2.89777
iter 384k, 485.191 sec, train err -2.86276, test err -2.89804
iter 385k, 485.285 sec, train err -2.86197, test err -2.89693
iter 386k, 485.105 sec, train err -2.86224, test err -2.89727
iter 387k, 485.187 sec, train err -2.86111, test err -2.89732
iter 388k, 485.149 sec, train err -2.86187, test err -2.89757
iter 389k, 485.064 sec, train err -2.86223, test err -2.8973
iter 390k, 485.021 sec, train err -2.86251, test err -2.89858
iter 391k, 484.646 sec, train err -2.86149, test err -2.89759
iter 392k, 484.923 sec, train err -2.86111, test err -2.89752
iter 393k, 484.635 sec, train err -2.86317, test err -2.89747
iter 394k, 484.336 sec, train err -2.86219, test err -2.89782
iter 395k, 484.506 sec, train err -2.86157, test err -2.89765
